Xで | Yが | つかぬ
XXと | 云うYは -> 男だぜ -> すましているんだい | 事だ
XXと | Yの -> 知ってる -> 男だぜ -> すましているんだい | 事だ
XXと | Yだぜ -> すましているんだい | 事だ
XXと | Yが -> 付けて -> すましているんだい | 事だ
XXと | YYなんて -> 付けて -> すましているんだい | 事だ
XXと | Yを -> 付けて -> すましているんだい | 事だ
XXと | すましているYY | 事だ
XXと | Yの -> 曾呂崎の | 事だ
XXと | YYの | 事だ
Xして | Yへ -> 這入って -> 云う -> 題目で -> 研究していたが | 死んでしまった
Xして | YYと -> 云う -> 題目で -> 研究していたが | 死んでしまった
Xして | Yで -> 研究していたが | 死んでしまった
Xして | Yしていたが | 死んでしまった
Xして | Yし過ぎて | 死んでしまった
Xして | Yで | 死んでしまった
XXは | Yでも -> 親友なんだからな | しない
XXは | Yの -> 親友なんだからな | しない
XXは | YなYだからな | しない
XXは | Yでも -> いいさ -> 悪いと | しない
XXは | いいY -> 悪いと | しない
XXは | Yや | しない
XXを | YYに -> 変化させたのは -> 所作だい | つけてやったんだ
XXを | YさせたYは -> 所作だい | つけてやったんだ
XXを | Yの -> 所作だい | つけてやったんだ
XXを | YY | つけてやったんだ
XXを | Yさ | つけてやったんだ
XXを | Yが | つけてやったんだ
Xの | Yほど -> 無いからなと | 自慢する
Xの | Yな -> ものは -> 無いからなと | 自慢する
Xの | Yは -> 無いからなと | 自慢する
Xの | YYは | 自慢する
Xの | Yな -> 名のように | 自慢する
Xの | YのYに | 自慢する
Xは | Yと -> 云う -> 奴を -> 見せ給えと -> 取り上げて | 死す
Xは | Yを -> 見せ給えと -> 取り上げて | 死す
Xは | Yを -> 取り上げて | 死す
Xは | Yに -> 生れ -> 究め | 死す
Xは | Yを -> 究め | 死す
Xは | Yに | 死す
XたりXたり | YYYと | 読み上る
XたりXたり | Yで | 読み上る
XXXの | Yだ -> 主人は | 云う
XXXの | Yは | 云う
XXXの | 嬉しYに | 云う
XXを | YYへ -> 彫り付けて | 置くんだね
XXを | Yの -> 裏手へ -> 抛り出して | 置くんだね
XXを | Yへ -> 抛り出して | 置くんだね
XXを | YのYに -> 抛り出して | 置くんだね
Xで | YYも -> 浮かばれる -> 訳だ -> 思っているのさと -> 答えたが | 出て行く
Xで | Yだ -> 思っているのさと -> 答えたが | 出て行く
Xで | Yも -> しようと -> 思っているのさと -> 答えたが | 出て行く
Xで | 思っているYさと -> 答えたが | 出て行く
Xで | Yは -> 答えたが | 出て行く
Xで | Yに -> 答えたが | 出て行く
Xで | Yあ -> 失敬するよ -> 給えと -> 待たず | 出て行く
Xで | Yするよ -> 給えと -> 待たず | 出て行く
Xで | Y -> 帰るから -> からかっていてくれ -> 給えと -> 待たず | 出て行く
Xで | Yにでも -> からかっていてくれ -> 給えと -> 待たず | 出て行く
Xで | Yの -> 返事も -> 待たず | 出て行く
Xで | Yも -> 待たず | 出て行く
Xで | Y -> 然と | 出て行く
XXの | YYを -> 命ぜられて -> していられないから | 見た
XXの | Yな -> 顔も -> していられないから | 見た
XXの | Yも -> していられないから | 見た
XXの | Yと -> 愛嬌を -> 振り蒔いて | 見た
XXの | Yを -> 振り蒔いて | 見た
XXの | Yの -> 上へ -> 這い上って | 見た
XXの | Yへ -> 這い上って | 見た
Xは | YY -> 肥ったな -> どれと -> 攫んで | 釣るす
Xは | Yと -> 攫んで | 釣るす
Xは | Yにも -> 攫んで | 釣るす
Xは | Yの -> 襟髪を -> 攫んで | 釣るす
Xは | Yを -> 攫んで | 釣るす
Xは | Yへ | 釣るす
X | Yを -> ぶら下げては -> 取れそうもない -> 捕りますかねと -> 見えて | 話しかける
X | Yは -> 取れそうもない -> 捕りますかねと -> 見えて | 話しかける
X | 取れYもない -> 捕りますかねと -> 見えて | 話しかける
X | Y -> 捕りますかねと -> 見えて | 話しかける
X | Yは -> 捕りますかねと -> 見えて | 話しかける
X | Yを -> 捕りますかねと -> 見えて | 話しかける
X | Yばかりでは -> 見えて | 話しかける
X | Yだと -> 見えて | 話しかける
X | Yの -> 妻君に | 話しかける
X | Yに | 話しかける
御Xを | Yを -> おどるんです -> ものと | 暴く
御Xを | おどるYです -> ものと | 暴く
御Xを | Yと | 暴く
御Xを | Yは | 暴く
御Xを | Yで | 暴く
御Xを | Yを | 暴く
Xは | Yを -> しながらも | 悪かった
Xは | Yが | 悪かった
Xは | Yを | 卸してくれない
なるほどXでも | おどりYな | 顔だ
X | Yは | 相好ですぜ
X | Yの -> ならない | 相好ですぜ
Xしの | Yに -> ある -> 猫又に -> 似ていますよと -> 言いながら | 話しかける
Xしの | Yに -> 似ていますよと -> 言いながら | 話しかける
Xしの | Yな -> 事を -> 言いながら | 話しかける
Xしの | Yを -> 言いながら | 話しかける
Xしの | Yに | 話しかける
Xは | YYに -> やめて | 出てくる
Xは | Yの -> 手を -> やめて | 出てくる
Xは | Yを -> やめて | 出てくる
Xは | Yへ | 出てくる
御XX | Yを -> 注ぎ | 出す
御XX | Yの -> 前へ | 出す
御XX | Yへ | 出す
Xへ | 行ったYですかね -> 行ったんでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | Yへ -> 参るにも -> 断わって -> 行った -> 事の -> 無い -> 男ですから -> 分りかねますが -> 行ったんでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | Yの -> 無い -> 男ですから -> 分りかねますが -> 行ったんでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | Yですから -> 分りかねますが -> 行ったんでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | 御Yへでも -> 行ったんでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | 行ったYでしょう -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | YYですか -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | YYも -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | Yに -> 捕まっちゃ -> 災難ですな -> へえと -> ないと -> 見えて | する
Xへ | Yですな -> へえと -> ないと -> 見えて | する
Xへ | Yは -> ないと -> 見えて | する
Xへ | Yの -> しようも -> ないと -> 見えて | する
Xへ | Yも -> ないと -> 見えて | する
Xへ | Yな -> 答えを | する
Xへ | Yを | する
Xは | Yの -> 加減が -> 能いんですか -> 思いますと | 洩らす
Xは | Yが -> 能いんですか -> 思いますと | 洩らす
Xは | 能いYですか -> 思いますと | 洩らす
Xは | Yと -> 分りません -> かかったって -> 思いますと | 洩らす
Xは | YYに -> かかったって -> 思いますと | 洩らす
Xは | Yばかり -> 甞めては -> ないと -> 思いますと | 洩らす
Xは | YYては -> ないと -> 思いますと | 洩らす
Xは | Yの -> 直る -> 訳が -> ないと -> 思いますと | 洩らす
Xは | Yが -> ないと -> 思いますと | 洩らす
Xは | Yは | 洩らす
Xは | Yの -> 不平を | 洩らす
Xは | Yを | 洩らす
Xは | Yに | 洩らす
Xを | YYるYですかまるで -> 小供のようですね -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | 小YのYですね -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | Yばかりじゃないんで -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | Yは -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | Yの -> 薬だとか -> 云って -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | Yだとか -> 云って -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | Yしを -> 甞めますので -> 驚ろいたなと | 感嘆する
Xを | YYますので -> 驚ろいたなと | 感嘆する
Xを | YYいたなと | 感嘆する
Xを | Yは | 感嘆する
Xでも | Yの -> 中には -> 読んでからです | 趣向ですな
Xでも | Yには -> 読んでからです | 趣向ですな
Xでも | Yが -> 有るとか -> 云う話しを -> 読んでからです | 趣向ですな
Xでも | Yで -> 読んでからです | 趣向ですな
Xでも | Yの -> 損害を -> 償おうと -> 云う | 趣向ですな
Xでも | Yを -> 償おうと -> 云う | 趣向ですな
いらあXと | Yは | 気色である
いらあXと | Yの -> 訴を -> 聞いて | 気色である
いらあXと | Yを -> 聞いて | 気色である
いらあXと | Yに | 気色である
いらあXと | Yな | 気色である
Xなどは | Yにまで -> 甞めさせまして | あなた
Xなどは | Yめさせまして | あなた
Xなどは | Yをですか | あなた
Xなどは | いいえYを | あなた
X御Xが | Yを -> やるから -> てって -> 可愛がってくれるかと -> 思うと | するんです
X御Xが | Yで -> てって -> 可愛がってくれるかと -> 思うと | するんです
X御Xが | YYに -> 可愛がってくれるかと -> 思うと | するんです
X御Xが | 小Yを -> 可愛がってくれるかと -> 思うと | するんです
X御Xが | Yな -> 事ばかり | するんです
X御Xが | Yばかり | するんです
XXXXには | Yの -> 娘を -> 抱いて -> あげましてね -> ありましたと | 解釈する
XXXXには | Yを -> 抱いて -> あげましてね -> ありましたと | 解釈する
XXXXには | Yの -> 上へ -> あげましてね -> ありましたと | 解釈する
XXXXには | Yへ -> あげましてね -> ありましたと | 解釈する
XXXXには | Yが -> ありましたと | 解釈する
XXXXには | Yは | 解釈する
XXXXには | Yを -> 聞いても | 解釈する
XXXXには | YYに | 解釈する
XXも | Yも -> 有りゃしません -> 見ろと -> 云うんですわ -> ないです | 無さ過ぎましたね
XXも | そのYから -> 飛び下りて -> 見ろと -> 云うんですわ -> ないです | 無さ過ぎましたね
XXも | 云うYですわ -> ないです | 無さ過ぎましたね
XXも | Yや -> 四つの -> 女の子です -> もの -> 御転婆な事が -> 出来る -> はずが -> ないです | 無さ過ぎましたね
XXも | Yの -> 女の子です -> もの -> 御転婆な事が -> 出来る -> はずが -> ないです | 無さ過ぎましたね
XXも | Yです -> もの -> 御転婆な事が -> 出来る -> はずが -> ないです | 無さ過ぎましたね
XXも | Y -> 御転婆な事が -> 出来る -> はずが -> ないです | 無さ過ぎましたね
XXも | 御YYなYが -> 出来る -> はずが -> ないです | 無さ過ぎましたね
XXも | Yが -> ないです | 無さ過ぎましたね
XXも | なるほどこりゃYが | 無さ過ぎましたね
Xで | Yは -> 善人ですよ -> 出来ませんわと | 揚げる
Xで | Yの -> ない -> 善人ですよ -> 出来ませんわと | 揚げる
Xで | Yですよ -> 出来ませんわと | 揚げる
Xで | Y -> あっちゃ -> 出来ませんわと | 揚げる
Xで | Yに -> あっちゃ -> 出来ませんわと | 揚げる
Xで | Yが -> あっちゃ -> 出来ませんわと | 揚げる
Xで | YYは -> 出来ませんわと | 揚げる
Xで | Yは | 揚げる
Xで | Yに | 揚げる
Xで | Yを | 揚げる
Xなく | そのY -> 暮らして行かれれば | 上の分ですよ
Xなく | そのYが -> 暮らして行かれれば | 上の分ですよ
XXなどは | Yは -> せず -> 構わず -> さあと | やっている
XXなどは | Yにも -> 構わず -> さあと | やっている
XXなどは | Yに -> 出来上った -> 人で -> さあと | やっている
XXなどは | YYに -> 出来上った -> 人で -> さあと | やっている
XXなどは | Yで -> さあと | やっている
XXなどは | Yは | やっている
XXなどは | Yに -> ない -> 説教を | やっている
XXなどは | Yを | やっている
XXなどは | Yな -> 調子で | やっている
XXなどは | Yで | やっている
X | 大Yで | やりますかね
X | Yか | やりますかね
X | Yで | やりますかね
Xの | Yだからねと | する
Xの | Yと -> した -> 返事を | する
Xの | Yを | する
Xの | Yは -> ないですが | 買いましてね
Xの | Yばかり | 買いましてね
Xも | Yに -> 見計らって -> 買ってくれると -> 善いんですけれど -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | 善いYですけれど -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yに -> 行っちゃ -> 取って来て -> しているんです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yへ -> 行っちゃ -> 取って来て -> しているんです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | YYでも -> 取って来て -> しているんです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yに -> なると -> しているんです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yを -> しているんです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | しているYです -> もの -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Y -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yの -> 暮なんか -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | Yなんか -> 月々のが -> 溜って -> 困りました | 構わんですよ
Xも | YYが -> 溜って -> 困りました | 構わんですよ
Xも | Y -> 困りました | 構わんですよ
Xも | YYなんか -> 取って来るだけ -> 取って来て | 構わんですよ
Xを | Yに -> やる -> 今に -> やると -> 云っていりゃ -> 帰ってしまい -> まさあ -> 参りませんからと | している
Xを | Yに -> やると -> 云っていりゃ -> 帰ってしまい -> まさあ -> 参りませんからと | している
Xを | Yまでも -> 引張る -> 訳にも -> 参りませんからと | している
Xを | Yにも -> 参りませんからと | している
Xを | Yは | している
Xを | Yと | している
Xじゃ | Yを -> 話して -> 削減させるさ | ある
Xじゃ | YYを -> 削減させるさ | ある
Xじゃ | Yさせるさ | ある
Xじゃ | Yを -> 云ったって -> 聞く -> ものですか | ある
Xじゃ | Yですか | ある
Xじゃ | Yなどは | ある
Xじゃ | Yは -> 似合わん -> 解しておらん -> 云う話しが | ある
Xじゃ | Yの -> 妻にも -> 似合わん -> 解しておらん -> 云う話しが | ある
Xじゃ | Yにも -> 似合わん -> 解しておらん -> 云う話しが | ある
Xじゃ | Yの -> 価値を -> 解しておらん -> 云う話しが | ある
Xじゃ | Yを -> 解しておらん -> 云う話しが | ある
Xじゃ | Yし -> 云う話しが | ある
Xじゃ | YYに -> 云う話しが | ある
Xの | Y -> 聞いておけと -> 云うんです -> 話しですか迷亭は | なる
Xの | 云うYです -> 話しですか迷亭は | なる
Xの | 話しですかYは | なる
Xの | Yに | なる
Xに | Yを -> 表していると -> いうより | 駆られている
Xに | YYに | 駆られている
XXでも | Yし -> 羅馬に -> 云う -> 王様が -> あって | 樽金
XXでも | YYに -> 云う -> 王様が -> あって | 樽金
XXでも | YYとか -> 云う -> 王様が -> あって | 樽金
XXでも | Yが -> あって | 樽金
XXは | Yですぜ | 覚えられませんわ
XXは | Yは | 覚えられませんわ
XXは | Yの -> 名なんか -> むずかしくて | 覚えられませんわ
XXは | Yなんか -> むずかしくて | 覚えられませんわ
Xでも | YYなYだYです | 妙ですな
Xでも | YYYYは | 妙ですな
XXXXが | Yまで -> 冷かしては | ありませんわ
XXXXが | Yが | ありませんわ
Xの | Yは | 掛る
Xの | Yへ -> 食って | 掛る
X | Yの -> 悪い -> 事を -> する | 僕じゃない
X | Yを -> する | 僕じゃない
XXXXは | Yなさいよ -> 王様ですね -> 覚えていないが | 事でしょう
XXXXは | YYの -> 七代目の -> 王様ですね -> 覚えていないが | 事でしょう
XXXXは | YYの -> 王様ですね -> 覚えていないが | 事でしょう
XXXXは | Yですね -> 覚えていないが | 事でしょう
XXXXは | Yの | 事でしょう
Xでも | Yが -> どうしました -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yの -> 所へ -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yへ -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | YYの -> 女が -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yが -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yを -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | YY -> 持って来て -> 買ってくれないかと -> 云ったんだそうです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | 云ったYだYです -> なるほど -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yが -> いくらなら -> 売ると -> いって -> 聞いたら -> 云うんですって -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yなら -> 売ると -> いって -> 聞いたら -> 云うんですって -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yな -> 事を -> 云うんですって -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yを -> 云うんですって -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | 云うYですって -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yだから -> 負けないかと -> 云うと -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yが -> くべて -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | YYの -> 内の -> 三冊を -> くべて -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yの -> 三冊を -> くべて -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | YYを -> くべて -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yに -> くべて -> 焚いてしまったそうです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | 焚いてしまったYです -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yを -> しましたな -> 書いてあるんですって | くべたそうです
Xでも | Yの -> 内には -> 書いてあるんですって | くべたそうです
Xでも | Yには -> 書いてあるんですって | くべたそうです
Xでも | Yか -> 何か -> 見られない -> 事が -> 書いてあるんですって | くべたそうです
Xでも | Yか -> 見られない -> 事が -> 書いてあるんですって | くべたそうです
Xでも | Yで -> 見られない -> 事が -> 書いてあるんですって | くべたそうです
Xでも | Yが -> 書いてあるんですって | くべたそうです
Xでも | 書いてあるYですって | くべたそうです
Xでも | Yは -> なったから -> 減ったろうと -> 思って -> 聞くと | くべたそうです
Xでも | YYが -> なったから -> 減ったろうと -> 思って -> 聞くと | くべたそうです
Xでも | YYに -> なったから -> 減ったろうと -> 思って -> 聞くと | くべたそうです
Xでも | Yも -> 減ったろうと -> 思って -> 聞くと | くべたそうです
Xでも | YYで -> 聞くと | くべたそうです
Xでも | Yだと -> 聞くと | くべたそうです
Xでも | Yの -> 通り -> 引かないそうです -> 乱暴だと -> 云うと | くべたそうです
Xでも | Y -> 引かないそうです -> 乱暴だと -> 云うと | くべたそうです
Xでも | Yも -> 引かないそうです -> 乱暴だと -> 云うと | くべたそうです
Xでも | 引かないYです -> 乱暴だと -> 云うと | くべたそうです
Xでも | Yは -> 乱暴だと -> 云うと | くべたそうです
Xでも | Yだと -> 云うと | くべたそうです
Xでも | Yはまた | くべたそうです
Xでも | YYを -> とって | くべたそうです
Xでも | Yに | くべたそうです
Xは | Yが -> あったと -> 見えて -> 売ると -> 聞くと | 云うそうです
Xは | YYを -> 売ると -> 聞くと | 云うそうです
Xは | Yで -> 売ると -> 聞くと | 云うそうです
Xは | YYYのねだYを -> くれと | 云うそうです
XXが | YYに -> なり -> なっても -> くべるかも知れないので -> 分りませんねと | す
XXが | YYが -> なっても -> くべるかも知れないので -> 分りませんねと | す
XXが | YYに -> なっても -> くべるかも知れないので -> 分りませんねと | す
XXが | Yは -> くべるかも知れないので -> 分りませんねと | す
XXが | Yの -> 通り -> 引かない -> 引かせようとすると -> くべるかも知れないので -> 分りませんねと | す
XXが | Y -> 引かない -> 引かせようとすると -> くべるかも知れないので -> 分りませんねと | す
XXが | YYも -> 引かない -> 引かせようとすると -> くべるかも知れないので -> 分りませんねと | す
XXが | Yを -> 引かせようとすると -> くべるかも知れないので -> 分りませんねと | す
XXが | YYも -> くべるかも知れないので -> 分りませんねと | す
XXが | Yに -> くべるかも知れないので -> 分りませんねと | す
XXが | Yは -> 買ったんですって -> 分りませんねと | す
XXが | 御Yを -> 出して -> 焚け -> 買ったんですって -> 分りませんねと | す
XXが | Yの -> 三冊を -> 買ったんですって -> 分りませんねと | す
XXが | YYを -> 買ったんですって -> 分りませんねと | す
XXが | 買ったYですって -> 分りませんねと | す
XXが | Yの -> ありがた味が -> 分ったろう -> 分りませんねと | す
XXが | Yが -> 分ったろう -> 分りませんねと | す
XXが | YYY -> ありがたいんだか -> 分りませんねと | す
XXが | Yにゃ -> ありがたいんだか -> 分りませんねと | す
XXが | Yが -> ありがたいんだか -> 分りませんねと | す
XXが | ありがたいYだか -> 分りませんねと | す
XXが | Yは | す
XXが | Yの -> 見識を -> 立てて | す
XXが | Yを -> 立てて | す
XXが | Yの -> 返答を | す
XXが | Yを | す
XXが | Yが | す
Xも | Yしたと -> 見えて -> じゃらしていたが | 出す
Xも | Yから -> 出して -> じゃらしていたが | 出す
Xも | Yを -> 出して -> じゃらしていたが | 出す
Xも | Yを -> じゃらしていたが | 出す
Xも | Yと -> 考えついたように | 出す
Xも | Yに -> 考えついたように | 出す
Xも | Yか -> 考えついたように | 出す
Xも | 考えついたYに | 出す
Xも | Yを | 出す
Xを | YYに -> 詰め込む -> ものだから | 云われるんですよ
Xを | Yだから | 云われるんですよ
Xを | Yから | 云われるんですよ
Xを | Yだとか | 云われるんですよ
X | YYを -> 見たら -> 出ていましたよ | ほんとに
X | YYYの -> 評が -> 出ていましたよ | ほんとに
X | Yが -> 出ていましたよ | ほんとに
Xの | Yが -> かかるのは | 見える
Xの | Yに -> かかるのは | 見える
Xの | かかるYは | 見える
Xの | Yと | 見える
いてあったXです | Y | 二三行ばかりですがね
XXの | Yは -> ありましたよ | 調子である
XXの | Yのごとしと -> ありましたよ | 調子である
XXの | Yは | 調子である
XXの | Yして -> ありましたよ細君は -> 賞めたんでしょうかと | 調子である
XXの | YY -> ありましたよ細君は -> 賞めたんでしょうかと | 調子である
XXの | 次にねYYYかと -> 思えば -> 消え -> 逝いては -> ありましたよ細君は -> 賞めたんでしょうかと | 調子である
XXの | Yると -> ありましたよ細君は -> 賞めたんでしょうかと | 調子である
XXの | ありましたよYは -> 賞めたんでしょうかと | 調子である
XXの | Yな -> 顔を -> して -> 賞めたんでしょうかと | 調子である
XXの | Yを -> して -> 賞めたんでしょうかと | 調子である
XXの | YYたYでしょうかと | 調子である
XXの | YY -> ない | 調子である
XXた | Yでしょうなと | ぶら下げる
XXた | Yは | ぶら下げる
XXた | Yを | ぶら下げる
XXた | Yの -> 眼の -> 前に | ぶら下げる
XXた | Yの -> 前に | ぶら下げる
XXた | Yに | ぶら下げる
Xは | YYYで -> ござん -> すまいが -> 偏屈でしてねえ迷亭はまた -> 来たなと -> 思って | する
Xは | Yも -> ござん -> すまいが -> 偏屈でしてねえ迷亭はまた -> 来たなと -> 思って | する
Xは | YでしてねえYはまた -> 来たなと -> 思って | する
Xは | Yから -> 来たなと -> 思って | する
Xは | Yは -> あんなですよと -> するような -> 不即不離の -> 妙答を | する
Xは | Yですね -> あんなですよと -> するような -> 不即不離の -> 妙答を | する
Xは | Yを -> する -> ものは -> あんなですよと -> するような -> 不即不離の -> 妙答を | する
Xは | Yは -> あんなですよと -> するような -> 不即不離の -> 妙答を | する
Xは | Yを -> 合わせるような -> 弁護を -> するような -> 不即不離の -> 妙答を | する
Xは | 合わせるYな -> 弁護を -> するような -> 不即不離の -> 妙答を | する
Xは | Yを -> するような -> 不即不離の -> 妙答を | する
Xは | するYな -> 不即不離の -> 妙答を | する
Xは | Yの -> 妙答を | する
Xは | YYを | する
Xなどは | Yから -> 帰って -> 出るのに -> 着換えるのが -> 面倒だ -> ものですから | 食べるのです
Xなどは | Yへ -> 出るのに -> 着換えるのが -> 面倒だ -> ものですから | 食べるのです
Xなどは | Yを -> 着換えるのが -> 面倒だ -> ものですから | 食べるのです
Xなどは | 着換えるYが -> 面倒だ -> ものですから | 食べるのです
Xなどは | Yだ -> ものですから | 食べるのです
Xなどは | Yですから | 食べるのです
Xなどは | YYも -> 脱がないで | 食べるのです
Xなどは | Yへ -> 掛けて | 食べるのです
Xなどは | Yを -> 掛けて | 食べるのです
Xなどは | Yを | 食べるのです
Xを | YYの -> 上へ -> 乗せまして—— -> おかしくって | 首実検のようですな
Xを | Yへ -> 乗せまして—— -> おかしくって | 首実検のようですな
Xを | 乗せましてY -> おかしくって | 首実検のようですな
Xを | Yは -> 坐っておりましたが -> おかしくって | 首実検のようですな
Xを | 御Yを -> 抱えて -> 坐っておりましたが -> おかしくって | 首実検のようですな
Xを | Yの | 首実検のようですな
Xが | YYの -> 苦 -> 沙弥君たる -> ところで—— -> 月並でないと | する
Xが | Y -> 沙弥君たる -> ところで—— -> 月並でないと | する
Xが | YYたる -> ところで—— -> 月並でないと | する
Xが | YでY -> 月並でないと | する
Xが | Yでないと | する
Xが | 褒めYを | する
Xか | Yでないか -> 分りませんが -> 乱暴ですわ -> 好いですよと -> 加勢すると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yには -> 分りませんが -> 乱暴ですわ -> 好いですよと -> 加勢すると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yでも -> 乱暴ですわ -> 好いですよと -> 加勢すると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yですわ -> 好いですよと -> 加勢すると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yより -> 好いですよと -> 加勢すると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yすると -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yは -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yな -> 様子で -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yで -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Y -> 皆さんが -> おっしゃいますが -> 月並なんですと -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | YYと -> 皆さんが -> おっしゃいますが -> 月並なんですと -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yが -> おっしゃいますが -> 月並なんですと -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | どんなYが -> 月並なんですと -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | YなYですと -> 開き直って -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yの -> 定義を -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yを -> 質問する -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yする -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yですか -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yと -> 云うと——さようちと -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | 云うとYYYちと -> 説明しにくいのですが -> ものじゃありませんかと | 詰め寄せる
Xか | YしにくいYですが -> ものじゃありませんかと | 詰め寄せる
Xか | Yな -> ものなら -> ものじゃありませんかと | 詰め寄せる
Xか | Yなら -> ものじゃありませんかと | 詰め寄せる
Xか | Yだって -> ものじゃありませんかと | 詰め寄せる
Xか | 好YYな -> ものじゃありませんかと | 詰め寄せる
Xか | Yじゃありませんかと | 詰め寄せる
Xか | Yは | 詰め寄せる
Xか | YYの -> 論理法で | 詰め寄せる
Xか | YYで | 詰め寄せる
Xじゃありませんよ | Yしにくいだけの -> 事で -> さあ -> 云うんでしょうと | 云う
Xじゃありませんよ | Yで -> さあ -> 云うんでしょうと | 云う
